37.9296919686,35.9171562099
37.9576592339,35.9171562099
37.3875146857,35.7487100114
48.6300761084,45.1125676815
48.7366605347,45.3917682126
48.7375334851,45.4571230452
48.8893423733,45.5462896783
48.9397669914,45.5127322658
60.8080813099,56.1839412155
60.8107611737,56.0894377958
61.1533707342,56.4006772712
61.5389191285,56.6381382781
61.5196672872,56.7738291418
61.3508921858,56.5913121951
61.3940656837,56.5913121951
61.4255247506,56.5913121951
64.1293430826,59.5892762974
64.3934856672,59.6672605896
64.5684089676,59.7320689645
64.2896045711,59.4913596562
64.2890836168,59.3473598935
64.2843809486,59.5998951029
68.8870494103,64.3054424389
69.3166395597,64.3673418306
74.5779725548,66.9340276005
74.7631929151,62.6265190996
74.8199816231,63.7882903276
